,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Manistee County, Michigan","24,733","24,747","24,588","24,774","24,675","24,481","24,413","24,457","24,424","24,393","24,455","24,558"
"Marquette County, Michigan","67,077","67,071","67,078","67,455","67,826","67,773","67,771","67,326","66,532","66,493","66,381","66,699"
"Mason County, Michigan","28,705","28,689","28,717","28,643","28,660","28,668","28,732","28,738","28,810","28,996","29,084","29,144"
"Mecosta County, Michigan","42,798","42,798","42,853","43,455","43,497","43,260","43,200","43,005","43,141","43,258","43,400","43,453"
"Menominee County, Michigan","24,029","24,029","23,968","23,868","23,731","23,725","23,520","23,476","23,208","22,981","22,927","22,780"
"Midland County, Michigan","83,629","83,621","83,651","83,805","83,721","83,651","83,492","83,662","83,422","83,314","83,223","83,156"
"Missaukee County, Michigan","14,849","14,851","14,816","14,902","15,006","15,058","14,978","14,882","15,018","15,020","15,101","15,118"
"Monroe County, Michigan","152,021","152,031","151,936","151,496","150,804","150,139","149,847","149,353","149,159","149,449","150,174","150,500"
"Montcalm County, Michigan","63,342","63,342","63,315","63,266","63,096","62,794","62,804","62,763","62,953","63,527","63,936","63,888"
"Montmorency County, Michigan","9,765","9,760","9,777","9,624","9,513","9,378","9,321","9,287","9,203","9,233","9,275","9,328"
"Muskegon County, Michigan","172,188","172,194","171,913","170,026","170,159","172,273","172,254","172,447","173,227","173,645","173,599","173,566"
"Newaygo County, Michigan","48,460","48,459","48,373","48,319","47,879","47,869","47,781","47,882","47,811","48,320","48,839","48,980"
"Oakland County, Michigan","1,202,362","1,202,384","1,203,106","1,212,643","1,223,598","1,235,468","1,242,853","1,244,602","1,251,027","1,256,016","1,256,694","1,257,584"
"Oceana County, Michigan","26,570","26,570","26,503","26,455","26,306","26,298","26,349","26,323","26,311","26,422","26,555","26,467"
"Ogemaw County, Michigan","21,699","21,688","21,605","21,489","21,358","21,160","20,957","20,877","20,850","20,882","20,882","20,997"
"Ontonagon County, Michigan","6,780","6,780","6,776","6,628","6,413","6,321","6,192","6,037","5,939","5,889","5,801","5,720"
"Osceola County, Michigan","23,528","23,526","23,502","23,471","23,323","23,322","23,216","23,177","23,170","23,267","23,377","23,460"
"Oscoda County, Michigan","8,640","8,638","8,601","8,614","8,574","8,369","8,312","8,277","8,259","8,238","8,224","8,241"
"Otsego County, Michigan","24,164","24,167","24,151","24,115","24,042","24,078","24,110","24,203","24,408","24,528","24,641","24,668"
"Ottawa County, Michigan","263,801","263,795","264,130","266,929","270,873","274,385","277,864","280,859","283,712","286,581","289,808","291,830"
"Presque Isle County, Michigan","13,376","13,380","13,317","13,152","13,084","13,010","12,962","12,801","12,735","12,742","12,698","12,592"
"Roscommon County, Michigan","24,449","24,448","24,442","24,325","24,185","24,023","24,025","23,912","23,779","23,731","23,812","24,019"
"Saginaw County, Michigan","200,169","200,169","199,862","198,899","198,363","196,794","195,248","193,305","192,507","191,965","190,791","190,539"
"St Clair County, Michigan","163,040","163,051","162,690","161,581","160,625","160,288","160,065","159,700","159,369","159,005","159,031","159,128"
"St Joseph County, Michigan","61,295","61,303","61,288","61,068","60,992","60,989","61,015","60,804","60,790","60,710","60,912","60,964"
"Sanilac County, Michigan","43,114","43,106","43,087","42,705","42,306","41,901","41,661","41,464","41,405","41,242","41,192","41,170"
"Schoolcraft County, Michigan","8,485","8,485","8,472","8,477","8,350","8,263","8,137","8,121","7,967","8,013","8,044","8,094"
"Shiawassee County, Michigan","70,648","70,668","70,634","69,998","69,329","68,903","68,808","68,505","68,542","68,400","68,133","68,122"
"Tuscola County, Michigan","55,729","55,722","55,698","55,400","54,708","54,216","53,923","53,726","53,276","52,815","52,633","52,245"
"Van Buren County, Michigan","76,258","76,269","76,149","75,936","75,298","75,318","75,226","75,060","75,267","75,303","75,481","75,677"
"Washtenaw County, Michigan","344,791","345,163","345,717","349,753","352,303","356,040","360,021","362,975","366,135","368,807","369,483","367,601"
"Wayne County, Michigan","1,820,584","1,820,473","1,815,081","1,803,189","1,795,929","1,780,225","1,771,679","1,764,872","1,760,612","1,757,217","1,754,453","1,749,343"
"Wexford County, Michigan","32,735","32,735","32,739","32,640","32,521","32,479","32,851","32,889","33,081","33,234","33,446","33,631"
