,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Polk County, Wisconsin","44,205","44,198","44,156","43,954","43,519","43,313","43,328","43,218","43,224","43,397","43,568","43,783"
"Portage County, Wisconsin","70,019","70,021","70,024","70,088","70,425","70,518","70,528","70,520","70,451","70,565","70,850","70,772"
"Price County, Wisconsin","14,159","14,159","14,097","13,984","13,845","13,738","13,657","13,578","13,413","13,380","13,357","13,351"
"Racine County, Wisconsin","195,408","195,428","195,406","194,908","194,594","194,680","194,786","194,672","194,846","195,825","196,357","196,311"
"Richland County, Wisconsin","18,021","18,028","18,024","18,009","17,816","17,827","17,754","17,574","17,556","17,517","17,397","17,252"
"Rock County, Wisconsin","160,331","160,325","160,260","159,867","160,065","160,341","160,920","161,006","161,320","162,205","162,874","163,354"
"Rusk County, Wisconsin","14,755","14,754","14,731","14,615","14,305","14,367","14,350","14,124","14,101","14,148","14,110","14,178"
"St Croix County, Wisconsin","84,345","84,337","84,397","84,771","85,035","85,643","86,530","87,129","87,598","88,560","89,688","90,687"
"Sauk County, Wisconsin","61,976","61,955","62,050","62,236","62,369","62,782","62,959","63,271","63,614","63,967","64,318","64,442"
"Sawyer County, Wisconsin","16,557","16,538","16,549","16,541","16,515","16,474","16,357","16,288","16,320","16,367","16,464","16,558"
"Shawano County, Wisconsin","41,949","41,955","41,939","41,671","41,509","41,409","41,345","41,051","40,952","40,846","40,771","40,899"
"Sheboygan County, Wisconsin","115,507","115,512","115,524","115,208","114,767","114,697","114,982","115,196","115,030","115,089","115,233","115,340"
"Taylor County, Wisconsin","20,689","20,690","20,661","20,658","20,371","20,424","20,417","20,314","20,290","20,314","20,364","20,343"
"Trempealeau County, Wisconsin","28,816","28,815","28,846","28,991","29,289","29,461","29,410","29,441","29,540","29,372","29,494","29,649"
"Vernon County, Wisconsin","29,773","29,769","29,766","29,869","30,021","30,089","30,186","30,317","30,553","30,702","30,772","30,822"
"Vilas County, Wisconsin","21,430","21,444","21,455","21,414","21,315","21,395","21,415","21,447","21,500","21,684","21,928","22,195"
"Walworth County, Wisconsin","102,228","102,230","102,197","102,643","102,871","102,793","103,171","102,475","102,627","102,850","103,550","103,868"
"Washburn County, Wisconsin","15,911","15,907","15,930","15,842","15,847","15,661","15,658","15,522","15,621","15,739","15,837","15,720"
"Washington County, Wisconsin","131,887","131,885","131,988","132,337","132,732","132,929","133,601","133,906","134,310","134,930","135,445","136,034"
"Waukesha County, Wisconsin","389,891","389,946","390,028","390,837","392,810","394,147","395,397","396,237","398,521","400,899","402,522","404,198"
"Waupaca County, Wisconsin","52,410","52,410","52,399","52,291","51,916","52,066","51,930","51,680","51,306","51,118","51,130","50,990"
"Waushara County, Wisconsin","24,496","24,509","24,526","24,561","24,429","24,255","24,103","23,959","24,103","24,193","24,267","24,443"
"Winnebago County, Wisconsin","166,994","167,000","167,073","167,493","168,525","169,283","169,324","169,246","169,629","170,394","170,878","171,907"
"Wood County, Wisconsin","74,749","74,750","74,815","74,655","74,322","73,920","73,587","73,350","73,219","73,038","72,954","72,999"
